feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
0.741318,0.417971,-0.240764,-1.519950,-0.114042,0.543542,-1.008432,1.253851,0
0.371940,-2.030753,-0.944318,2.056210,-0.815070,-1.667574,0.684691,-0.294929,1
1.945599,-0.846787,0.010090,0.947509,-0.630926,0.710551,-0.784801,0.603954,1
1.211887,-1.841269,-0.479688,-0.575512,-0.239569,0.115911,-2.059640,-0.041635,1
-1.245172,-0.354570,1.419198,-0.303996,0.121790,-0.342881,-1.685853,-0.510717,0
0.207998,0.338923,-0.249275,-0.370894,-0.416079,-0.038259,-1.446545,0.020172,0
-1.685561,-0.229680,-0.715276,0.559283,1.464348,-0.295857,-1.240597,0.049431,0
-1.543287,-1.583411,0.996433,-0.979245,-1.697820,0.651920,-1.778893,1.924875,1
-1.555996,-0.234995,0.337423,-0.990537,-0.493453,0.269437,-0.169025,-3.065094,0
0.426971,-0.740366,0.377557,0.343090,-0.065984,-0.177311,0.460948,-1.034329,1
1.024122,0.423034,-1.892357,-1.104206,0.467208,0.108679,0.279909,0.641737,0
1.582771,0.104186,0.631069,-0.119346,0.603723,0.040739,-0.863417,-1.759341,0
-0.137319,2.085499,0.785433,-0.469493,-2.398578,-0.735415,-0.702542,0.077054,0
0.746005,-0.918514,0.810020,-0.797249,-0.079500,1.461245,-0.089670,0.011498,1
-1.234740,1.289295,-0.312078,-1.328829,0.321417,0.487909,-0.337913,0.697472,0
-0.882257,0.786589,-0.034030,-0.558035,-0.123177,0.006675,-0.051845,0.839423,0
0.689201,0.392691,-0.094406,-0.442180,-1.115820,0.140234,1.277592,-0.366878,0
-0.664407,-1.933189,1.111212,1.573870,1.011971,0.323499,1.209594,-0.577963,1
-0.324675,0.799299,0.758609,0.392706,-1.551306,0.324043,-0.969525,1.176320,1
0.617413,1.841192,-0.388437,-0.089476,-0.129785,-1.127375,1.097641,0.101289,0
3.086013,0.203329,0.208072,-0.647989,-0.617636,-0.551920,-0.886378,0.875433,1
0.865969,-0.384820,-0.666741,0.501619,1.542001,-1.152445,2.115202,-1.480822,0
0.204398,-0.389674,0.282079,0.344585,-0.688845,-1.410488,0.432710,0.917619,1
-1.145403,0.085707,0.578303,0.726737,0.718637,2.020304,0.992611,-1.073430,0
0.196184,-1.844846,-0.676597,0.589395,-0.150135,0.092470,-1.259234,0.906355,1
-0.199825,-0.150148,-0.122011,-0.446070,0.799276,-0.276895,-0.384773,-0.857566,0
0.625684,-1.224386,0.928888,1.430532,1.033668,-0.721665,-0.707725,0.941850,1
1.229197,-1.577281,-0.159466,0.339266,-0.569391,1.321257,-0.476709,0.134055,1
-1.370478,-0.714496,-1.097884,2.021508,-0.717298,0.853886,1.917810,1.894504,1
1.629554,-1.189810,-0.477386,-0.197541,2.182214,1.842233,-0.091156,-0.411006,0
-0.511794,2.069850,0.074927,1.303483,0.311336,-0.560012,-0.380466,-0.117981,0
0.125925,1.360817,-0.544286,-0.528549,1.394797,-0.075829,-0.977560,-1.512228,0
0.350312,1.067518,0.615571,0.773191,-0.559716,-0.261312,-0.776353,-0.096940,1
-0.372475,1.449097,0.351397,1.554270,1.997195,-0.911118,-0.662782,-1.187297,0
0.084232,-1.667114,-3.219495,0.288231,1.034702,-1.670954,-0.897236,0.577180,0
-0.874270,-1.050882,-0.166451,0.725109,-0.497567,1.514186,0.541712,1.313725,1
0.010101,-0.852568,-0.316713,-0.210722,0.772306,0.766934,-1.005229,-0.016641,1
0.494213,0.058271,0.853248,-0.581072,0.447654,2.000712,0.917615,1.447631,1
-1.592778,0.857445,0.292281,1.631050,-1.974416,-0.881099,1.443817,1.029207,1
0.871570,0.747821,0.002709,-0.269975,0.844097,1.961330,0.814349,0.402215,0
-0.263331,-0.156872,2.098281,0.415753,-0.417640,1.097977,2.517539,-1.109473,1
0.116348,1.884437,-0.995500,0.640515,1.796952,-0.688441,0.897342,0.970067,0
0.420149,1.350912,0.740134,1.922383,0.450446,0.146366,-0.131364,-0.856475,1
-1.183263,1.021339,1.156719,1.003594,-0.413441,0.625043,0.338470,-0.553472,1
0.307751,0.664991,-0.903908,-1.519512,-1.025124,1.057635,0.998425,-0.886487,0
0.838821,-0.400957,-0.698189,-0.276957,-0.334485,1.071314,-0.114678,-1.210851,1
-0.662947,-0.479750,-0.010233,1.803121,0.699531,0.426652,0.026814,-0.750825,1
1.239388,2.367305,-1.788346,1.088122,0.233275,0.003663,-0.985551,1.062869,1
-1.350940,-0.496030,-0.931409,1.131329,0.248232,-1.180153,-1.931094,-0.068332,0
-1.110511,0.800093,1.544333,0.695438,1.178879,0.099089,1.073017,0.253419,0
0.102264,1.154458,0.236794,1.295902,-0.268221,0.001749,-1.299655,-0.905242,1
-0.895155,0.109615,0.154539,-1.067656,0.026137,-0.729273,0.279907,0.116483,0
-1.136395,-0.525160,0.190553,-0.712210,0.523748,0.686107,0.838256,0.228294,0
-0.842497,-0.365310,-0.227652,0.263227,-0.554283,-0.017925,0.589859,-0.686719,0
0.953348,0.385394,-0.459862,0.525454,0.288346,-0.053999,-1.688916,0.111179,1
-0.048444,-0.008990,-0.282745,0.123787,2.097808,0.629331,0.775972,-0.312648,0
3.255488,0.711980,0.135634,-1.621909,0.096373,0.758058,-0.704664,-0.238231,0
0.555319,-1.466640,2.408739,-0.218224,-0.182604,-1.188049,0.828851,0.855643,1
0.880253,-1.005767,0.842292,-0.729762,-1.505180,1.199191,-1.279561,1.184586,1
0.902158,-0.569519,-0.183270,0.199520,0.665540,-0.841395,0.173080,-2.991743,0
0.440138,-0.513866,-0.288296,0.260808,-0.341976,-0.885692,-0.029708,0.191305,1
0.710060,1.405594,-0.732249,-0.110502,0.940105,1.338329,1.930401,-1.083741,0
0.169383,-0.111919,-0.431050,0.885746,1.792869,1.032630,-0.781567,1.527979,1
-0.040655,0.021205,0.287942,0.784758,1.092624,0.848114,0.171607,-1.113191,1
-0.209153,-0.748013,-0.227311,-1.463763,0.407538,0.540602,-0.299324,1.550912,0
0.554039,0.124634,0.821765,-0.391719,0.576736,0.215607,0.056357,-0.882068,0
0.831506,-0.128479,-1.074224,-1.968358,0.322191,1.494481,-1.246836,-2.157302,0
-0.538135,0.892421,0.565494,-0.274708,0.220255,-0.662919,0.596723,-0.810108,0
-0.928875,0.653262,0.739260,1.281392,0.028281,0.441056,-0.571478,0.877969,1
1.073354,-1.466275,-0.509126,0.986113,0.143792,-0.237248,0.271525,-0.276450,1
-0.965194,-0.578064,-0.349326,0.679969,0.913305,0.135997,1.004213,-0.812201,0
1.480974,-1.356437,0.265417,0.910846,-0.266751,-2.120672,-1.100264,0.188993,1
-0.878426,0.550094,-0.307989,1.855913,0.713874,-0.672695,0.235086,-0.149994,1
0.896407,-1.755910,2.111733,0.384797,0.528623,0.203395,1.496192,0.004179,1
-0.581327,0.457365,-1.448179,0.058160,-1.335915,-0.416798,-1.750177,-0.702683,0
-0.175329,0.655209,-0.567965,-0.327415,-1.506725,-1.000521,-2.375405,0.265584,0
-1.285949,0.075598,-0.559752,0.599671,-0.008026,-1.235724,0.061648,0.754788,0
0.557532,0.253976,0.257187,0.421842,0.194236,-0.137136,-0.469573,-1.640840,0
1.047402,1.710883,0.226618,-0.241846,-0.029128,1.189735,0.287185,-0.955820,0
-0.744350,-0.418576,0.798276,0.111842,-1.920114,0.613285,-1.140212,-1.375743,1
0.875892,-1.569749,0.686893,0.688794,-0.351760,-0.633798,0.066343,0.152379,1
-1.217881,1.017738,1.136254,-1.235190,0.686106,-1.854403,1.406635,0.315216,0
0.216592,0.199311,-0.363965,1.579678,0.505556,-0.020260,-0.111764,0.203124,1
-0.303562,-0.652559,1.672672,0.432045,-0.693356,-1.077899,0.872674,0.271475,1
-0.432731,-1.179759,0.174754,-0.535913,0.215888,0.424254,0.695565,-0.308573,0
0.037302,1.282481,0.155868,0.868215,1.099736,-0.108018,0.710454,-0.948458,0
0.346071,0.115411,0.671943,-0.537313,0.559309,0.300290,-3.405869,0.355726,1
1.919684,-1.558814,0.927521,-0.273522,0.209595,-1.389496,-0.456823,-0.576636,1
2.119590,-2.416510,-1.774885,0.661759,-0.097419,-0.614256,0.599590,0.101850,1
0.267448,0.019289,-0.861266,-0.144524,-0.012971,0.627033,2.451144,1.221149,0
0.428208,-1.573446,-1.453585,1.066302,0.801045,-1.509251,0.459271,-0.040675,1
-0.311199,-0.006770,2.192677,1.297176,0.192895,0.141384,0.981511,-0.996800,1
-0.940635,1.071253,-0.492151,0.642353,0.729092,-0.494506,0.749521,0.503548,0
-0.688132,-1.446770,-0.432562,0.208628,0.424473,0.578694,0.726442,-0.124906,1
-0.723296,0.502573,-2.399994,-0.570444,0.578957,1.978223,-0.721726,1.511637,0
1.863415,0.684968,-0.163692,-1.311744,0.853224,0.350177,0.718363,-1.072602,0
0.381779,0.859096,0.565009,-0.037435,-0.645826,-0.730011,-0.427257,-0.542862,0
-1.395227,-0.819089,-0.857252,-0.448410,-0.203263,0.799349,-1.304747,-1.416373,0
-0.541295,0.479372,-1.051872,-0.770971,-0.254711,-0.024452,-0.758100,-0.780647,0
-0.743835,0.649965,0.917792,1.635052,-0.073280,-0.629630,1.507605,1.011984,1
2.124705,2.170308,-0.729237,0.040910,0.777271,-1.221100,1.738042,-0.717417,0
-1.143874,1.855103,0.800333,-0.181366,-0.737812,0.386766,-1.030012,-1.951340,0
-0.265839,1.411854,1.139057,0.567358,0.268565,-1.130273,0.092334,1.791659,1
-1.355975,1.480793,-0.996994,0.552384,0.778340,0.221209,0.161439,-1.132728,0
0.468657,0.425936,-1.488054,1.252715,-1.597492,-1.445471,2.672482,1.296447,1
1.356908,-0.092710,-0.656023,-0.520749,-0.925069,0.906664,0.087823,-0.562499,1
-1.228780,-0.929534,0.220868,0.474570,-0.387934,-1.051644,0.342006,0.360114,1
-0.496924,1.077128,3.061454,-0.585198,-1.524170,-0.550759,0.663001,-0.471523,0
-1.648994,0.843840,-0.929024,0.597865,-2.381873,-0.097134,-0.887540,1.282385,1
1.310080,0.572325,-0.589543,0.917099,-1.190448,-2.236749,0.650920,-1.254882,1
-0.345294,0.116020,-0.710012,0.395582,-2.316621,0.902117,-0.410847,1.485088,1
-0.661171,1.433237,1.568585,-0.010880,1.044776,-1.008520,1.555068,0.787525,0
1.727655,1.245766,0.807815,0.501233,-1.129455,1.136789,-0.446380,-0.802210,1
-1.462976,-0.754855,-0.834802,-0.722165,0.853734,-0.600948,1.364353,-2.091034,0
1.001672,-0.046581,0.687393,-1.275502,-1.052732,-3.313854,1.017871,0.452302,0
0.849164,0.684143,-0.044089,-0.380010,0.405143,-1.298039,1.011525,0.522887,0
-1.178538,-1.149293,-0.039084,1.825645,-0.207379,-1.717347,0.821305,0.768233,1
0.196429,0.175532,-0.134719,-0.735237,0.997331,-0.474789,-0.101965,0.206696,0
0.918343,0.913632,0.295006,0.313038,-0.831935,-0.063903,0.129329,-0.741658,1
0.172040,-1.219629,0.382016,-1.887240,0.492395,1.544324,1.187751,1.492910,1
-1.145383,0.763315,1.689486,-1.944548,-0.125529,0.075974,1.050297,1.519589,0
-1.571641,-0.236064,-0.046686,0.650897,0.540228,1.403142,-0.302498,0.176884,1
0.685136,0.367467,1.710956,1.447371,-0.550485,1.019663,-1.183570,-1.718810,1
-0.427718,0.824370,-0.568894,-0.500333,1.561613,-0.049813,0.956453,-1.027733,0
-0.992076,0.463075,1.808973,0.582350,1.134136,0.463412,-0.965597,-0.297336,0
0.450355,-0.452979,1.057434,0.205261,1.651093,-0.133741,0.010606,-2.168346,1
-2.119717,-1.408883,-0.896911,1.009181,-0.575225,0.621145,-1.032403,-0.845330,1
1.076497,0.007844,-0.330068,0.635998,0.419674,-0.224691,1.767865,-1.769945,0
-0.336392,1.471400,2.472942,1.472219,0.437221,-0.777422,-0.759835,1.686759,1
-1.392538,0.026719,-0.312350,-0.897871,-0.894514,1.280665,-0.629225,2.310738,0
-0.092751,-0.050861,-0.085501,-1.037519,-1.227434,-2.593362,0.341969,-0.197192,0
-1.056825,-0.784082,0.756613,-0.462182,0.193560,-0.692853,1.474337,0.447090,0
-0.633092,-1.089891,0.380217,0.327794,-0.913913,2.305871,-2.100511,-0.834748,1
1.004525,0.272938,-0.434538,0.793117,-0.806091,1.042913,0.208316,-1.075918,1
-1.528336,0.061270,-1.323985,1.123617,1.299872,1.011227,0.665016,1.149207,1
0.880615,-0.784710,1.083647,-0.984101,-0.124135,-1.716498,-0.864723,-0.832849,0
0.885052,-0.108364,-0.236600,-0.689985,-0.114494,1.615114,-0.686913,-0.349883,1
0.732425,-0.222625,-1.041287,-0.946416,-0.862626,2.167241,-0.332880,-1.110777,0
0.009123,-0.464503,-0.674593,1.818027,1.511036,0.338470,-1.152285,-0.525315,1
0.497051,0.167301,-1.802565,1.431371,1.008400,0.131133,0.653644,-1.338999,1
0.123436,-1.315840,1.831186,-1.341310,-0.354245,-0.883000,1.517589,-0.482316,0
1.909657,-0.069927,0.753882,1.231239,0.158145,-0.018659,0.832590,-0.009568,1
-0.116023,0.810938,-0.205761,1.175212,0.414586,-0.420803,1.248395,-1.516549,0
-0.794917,-1.434309,-0.316384,1.510202,-0.839327,-0.020681,0.333615,0.874987,1
0.114141,1.092233,-1.110081,1.175036,1.113337,-0.411686,-0.847605,-0.373255,1
2.431391,1.362090,-0.534428,1.938634,0.939031,1.034835,0.771959,2.189007,1
0.247191,-0.256317,-0.188107,-0.324346,1.278319,0.241122,1.511414,-0.163870,0
-1.382907,1.082520,0.570493,0.488795,1.121228,-0.716117,0.932446,0.506022,0
-0.403289,0.035834,-1.272800,0.104594,1.264905,-0.220427,0.559207,0.633447,0
1.336380,2.419586,-0.367264,1.764403,-0.894268,0.185316,-0.080243,-1.333746,0
-1.046618,-0.896648,0.388273,-0.173114,-2.513633,-0.305458,0.477087,0.096764,1
-1.840034,1.843919,0.375357,-0.456650,-1.121800,-1.474437,-0.811492,0.013112,0
0.745760,-2.617988,0.511955,-0.886078,-0.472448,0.792684,1.707402,0.160866,1
1.323473,-0.766180,1.288495,-0.701714,0.204334,0.458124,-0.420201,0.449513,1
0.188871,-0.879720,0.107506,1.453654,-0.078236,1.213811,-0.063382,2.046274,1
0.666317,-0.771983,1.412984,-0.811080,-1.570497,-0.391793,-0.100816,0.063292,1
-2.600500,1.552008,-0.645879,0.681457,2.585534,-1.618047,-0.409705,0.351397,0
-1.692401,0.245514,-0.945567,-0.309596,1.305182,-0.060647,-1.135031,0.069501,0
-0.268118,0.250515,0.478192,-0.284709,0.565163,1.972370,2.244459,-0.568919,0
1.935999,-0.533399,-2.353368,0.190377,0.505394,-0.902169,-1.862587,-0.359698,1
-0.351675,0.363753,-0.340542,2.339623,0.575612,0.278208,-0.182791,0.259991,1
0.595221,-1.229000,-0.209762,-1.544004,-0.699529,-2.390674,-0.405451,0.619193,1
-0.616688,1.574672,1.052078,-0.542831,0.478335,0.757229,-0.759134,-0.348155,0
-2.585558,-1.542448,-1.167278,-0.635060,0.141761,2.592576,-0.950613,1.676191,1
0.564795,0.190962,0.759265,1.445704,0.047562,0.193260,0.338655,1.759494,1
0.007528,0.071921,0.159459,-0.097491,0.274517,-0.092240,1.385689,-0.771488,0
-0.384311,0.856857,0.983236,-0.879136,-1.080594,0.621208,-0.871250,0.221714,0
-0.376184,1.246239,-1.649477,0.622326,1.017217,0.821457,-0.080002,0.763855,0
-0.506674,-0.293789,0.773359,-0.264927,1.250631,0.872338,-0.733523,1.049223,0
0.039454,-0.041585,0.039574,-0.791575,0.017411,-1.262863,-0.635537,-0.421999,0
-1.422603,0.163472,0.796528,-0.151296,-0.393599,0.148063,0.225623,-0.695333,0
-1.572264,0.970200,-0.678877,-1.138417,0.569340,1.093831,-0.386956,-0.823507,0
-0.915570,-0.017398,0.229693,0.657154,0.909949,-1.557577,2.211689,-0.298082,0
-1.640542,0.657784,-1.673024,0.821042,1.642474,-0.245874,0.706546,0.188163,0
-0.978600,1.476632,-1.690455,-1.407713,1.310402,-0.591658,1.363244,0.584855,0
1.800596,-0.238476,0.595423,-0.578260,-1.582453,1.390396,-0.131228,1.136974,1
1.153351,-1.263869,0.448150,-1.983845,-2.174076,-1.008849,-0.746725,-0.892565,1
0.619855,0.945166,1.510827,0.194215,1.443171,0.243526,-1.520517,-0.867190,0
0.554274,1.334210,-0.930661,-2.199059,-1.109918,2.001417,0.703757,-0.437296,0
-0.412519,0.136050,-0.890087,-0.222574,1.195432,-0.267697,0.020478,0.804274,0
-0.025751,-0.757707,0.413477,1.252104,0.048535,0.889470,0.296227,0.139318,1
0.965285,-0.661400,-0.795485,-0.610496,0.405041,-2.494251,0.412610,0.767532,0
0.099218,-1.268810,-1.491411,-1.829904,0.622421,-0.437136,-3.328320,-0.881337,0
-0.112293,0.534616,0.199943,-0.756734,-0.252656,-0.305393,-1.581681,-0.719805,0
-0.301658,-1.062517,-0.432653,0.195455,-2.456640,0.391487,0.259673,-0.219121,1
0.342062,-0.483365,0.199847,-1.164907,0.588015,-0.036710,-1.015087,-0.891611,0
1.508080,0.452672,0.231900,0.242546,-0.181729,0.030348,0.893341,0.440218,0
0.092722,0.691059,-0.925223,-0.741730,-0.456348,0.502778,-0.051800,-0.235883,0
-1.026397,-0.056911,-1.680422,1.240071,-0.082518,1.768297,-0.283963,-1.053168,0
0.800313,-0.559740,1.281470,-0.721668,0.450754,0.156995,-1.090761,-2.029105,0
-1.520307,1.501389,1.735925,-0.259510,-1.214478,0.865711,-0.047722,-0.836903,0
-2.413379,-0.521988,-0.932615,-0.408228,-0.587951,0.158868,-1.234555,0.907188,0
1.031657,0.108856,0.079641,-0.771002,-0.534313,-0.462331,-2.554855,1.896925,1
2.085605,-1.609191,-0.924321,0.519691,-0.850070,-1.330590,-0.848522,0.121713,1
-0.015380,1.562944,-1.161920,-0.470967,0.539960,-0.043945,0.169634,-0.869839,0
-2.424087,-1.118388,-0.502031,-0.604351,0.018235,-1.492088,-1.500771,-0.428246,0
-0.490920,0.269809,-0.874018,-0.685424,-3.021368,-0.572893,-2.244915,-1.046853,1
1.348068,-0.477771,1.458273,-0.688886,-1.746703,-0.583493,0.546743,-0.781860,1
-1.031732,1.037788,0.513573,0.693974,1.621824,-1.671041,0.001072,0.625979,0
0.285332,-0.054138,-0.781791,-1.538273,0.105448,1.819899,0.324582,0.437628,0
-0.284029,-0.861085,0.506955,-0.485608,-0.856079,0.141566,-1.708479,0.653436,0
-0.583494,0.118083,0.699991,-0.416685,-0.389793,0.890717,-0.203534,-0.987757,0
1.295699,-0.762520,0.444046,0.824836,-0.188801,-0.671755,1.502197,-1.363521,1
0.941470,-0.060963,-0.304618,-0.120358,-0.338971,0.678201,-1.052262,-0.387641,1
-1.744669,2.306036,-1.610209,-1.171487,0.428044,0.177773,1.531962,0.202412,0
0.714130,-0.296257,-0.831048,-0.808798,0.167745,-0.869143,-0.352571,-0.482247,0
-0.012428,0.180478,-0.496103,1.243778,-0.057307,0.486282,0.638485,-0.926623,0
-0.063924,0.035486,-1.395654,-0.827501,-1.293459,-1.032473,-0.003072,-0.912646,0
-1.213810,-0.222989,0.507091,-2.050621,0.034513,0.209135,-0.080208,0.241483,0
-1.333122,0.726860,1.879075,0.781495,-1.300437,-0.591653,-1.542518,-0.965861,1
2.253229,-2.104173,1.647152,-0.946483,0.672349,0.339308,1.231615,-0.226930,1
-0.080045,-3.029568,-0.321171,2.813447,1.445825,0.564526,0.047601,-1.097891,1
-2.187836,-0.904744,-1.558009,0.668273,-1.107298,-0.721331,0.518179,0.989285,1
-0.877613,-1.183572,0.409647,-0.680936,1.122803,-0.128541,-0.139623,0.273863,1
1.520063,0.747966,-1.265432,2.174819,-0.431065,-0.166797,-0.509039,-0.590932,1
-1.475227,0.247008,0.092838,0.163037,-0.525591,0.073557,0.235235,0.585772,0
-0.335654,0.698379,0.300352,-0.563502,-0.913133,-1.037360,0.274670,-0.118195,0
-0.379835,-0.022819,1.584257,0.462506,1.073727,0.726127,-0.146385,-0.403312,1
0.588167,0.258478,0.066576,0.824811,0.869603,-1.286541,1.476383,-0.188920,0
-0.707406,-0.348091,0.014293,-0.983253,0.049364,-0.310191,-0.061114,2.808295,1
-0.273070,0.496539,-1.854565,-1.218164,0.499010,1.066868,-1.703926,0.003203,0
-0.293772,-0.064049,-0.398219,0.172160,-0.196000,0.416784,1.042947,0.774284,0
0.110814,-1.597103,1.770523,0.595297,0.356673,0.476459,0.233370,0.056091,1
-0.684010,1.852989,0.559443,-1.788909,-1.327091,0.475283,0.113714,-0.148723,0
0.437215,1.361674,0.299115,0.529068,-0.946297,-0.214827,0.764224,1.046535,1
-0.049509,1.338910,0.341586,0.315091,0.847912,2.087697,0.122038,-0.850393,0
0.494732,-0.196331,-1.166761,1.049324,-1.087306,1.127579,0.242152,-0.157492,1
0.812936,0.331640,-1.514726,0.570673,-0.291890,-1.534704,1.215803,0.047636,0
-0.119761,-2.001063,-0.883150,1.039280,2.065029,-0.547653,-1.859262,-0.978342,1
-0.012183,0.539874,-0.137386,-1.059839,0.733024,1.179612,1.282053,1.301792,0
-0.603655,1.225817,0.391845,1.016416,1.836220,-2.300421,-0.075199,0.951058,0
-0.608657,0.404128,1.209864,-0.024933,0.039605,0.062585,0.000400,-0.378636,0
-0.238293,-0.279583,-0.154113,-0.710906,-1.590706,0.185414,1.453628,-1.833652,0
0.416706,-0.631890,1.519090,-1.480094,0.350641,1.009646,1.426378,0.659014,0
0.140730,0.228314,-0.545607,0.327385,-0.157620,-1.293832,-1.198023,-2.333955,0
0.162883,-1.805118,0.470669,-0.509225,-1.152400,0.596952,-0.758010,1.086628,1
